review_id,product_category,rating,sentiment_label,review_text,date,clean_comment
1,giày thể thao,5,positive,"shop giao nhanh, đi êm chân, form đẹp",2025-12-13,cửa_hàng giao nhanh đi êm_chân form đẹp
2,giày thể thao,3,neutral,"đi ổn, đúng giá tiền",2025-04-22,đi ổn đúng giá tiền
3,bàn phím,1,negative,"gõ hơi cứng và ồn, hơi tiếc",2025-04-23,gõ hơi cứng và ồn_hơi tiếc
4,áo thun,1,negative,"săn sale nên thấy chỉ thừa nhiều, hơi thất vọng, đáng tiền",2025-05-23,săn sale nên thấy chỉ thừa nhiều hơi thất_vọng đáng tiền
5,bàn phím,5,positive,"săn sale nên thấy gõ êm tay, led đẹp",2025-07-03,săn sale nên thấy gõ êm_tay led đẹp
6,nồi chiên,5,positive,"săn sale nên thấy dung tích lớn, rất tiện",2025-03-05,săn sale nên thấy dung_tích lớn rất tiện
7,áo thun,5,positive,"shop giao nhanh, màu đẹp như hình",2025-01-24,cửa_hàng giao nhanh màu đẹp như hình
8,giày thể thao,5,positive,"đi êm chân, form đẹp, hơi tiếc",2025-05-23,đi êm_chân form đẹp hơi tiếc
9,áo thun,1,negative,"đóng gói cẩn thận, vải mỏng hơn mong đợi, sẽ ủng hộ tiếp",2025-12-10,đóng_gói cẩn_thận vải mỏng hơn mong_đợi sẽ ủng_hộ tiếp
10,tai nghe,1,negative,"shop giao nhanh, đeo hơi đau tai, sẽ ủng hộ tiếp",2025-08-25,cửa_hàng giao nhanh đeo hơi đau_tai sẽ ủng_hộ tiếp
11,áo thun,4,positive,"shop giao nhanh, vải mềm, form đẹp",2026-02-17,cửa_hàng giao nhanh vải mềm form đẹp
12,tai nghe,4,positive,"đóng gói cẩn thận, mic thu âm rõ, gọi điện tốt, sẽ ủng hộ tiếp",2025-12-02,đóng_gói cẩn_thận mic thu_âm rõ gọi điện tốt sẽ ủng_hộ tiếp
13,áo thun,5,positive,"shop giao nhanh, mặc thoải mái, đường may chắc, sẽ ủng hộ tiếp",2026-01-17,cửa_hàng giao nhanh mặc thoải_mái đường may chắc sẽ ủng_hộ tiếp
14,sạc dự phòng,2,negative,"shop giao nhanh, dung lượng không như quảng cáo, sẽ ủng hộ tiếp",2025-09-18,cửa_hàng giao nhanh dung_lượng không như quảng_cáo sẽ ủng_hộ tiếp
15,áo thun,4,positive,"shop giao nhanh, vải mềm, form đẹp, hơi tiếc",2025-11-02,cửa_hàng giao nhanh vải mềm form đẹp hơi tiếc
16,chuột,5,positive,"di chuột mượt, click nhạy, rất đáng tiền",2026-01-20,di_chuột mượt click_nhạy rất đáng tiền
17,tai nghe,3,neutral,"săn sale nên thấy nghe ổn trong tầm giá, sẽ ủng hộ tiếp",2025-08-21,săn sale nên thấy nghe ổn trong tầm_giá sẽ ủng_hộ tiếp
18,chuột,3,neutral,"đúng mô tả, hiệu năng bình thường, đáng tiền",2026-03-07,đúng mô_tả hiệu_năng bình_thường đáng tiền
19,giày thể thao,1,negative,"shop giao nhanh, đi hơi cứng chân",2026-02-03,cửa_hàng giao nhanh đi hơi cứng chân
20,sạc dự phòng,3,neutral,"dùng được, chưa thấy vấn đề, đáng tiền",2026-03-26,dùng được chưa thấy vấn_đề đáng tiền
21,nồi chiên,3,neutral,"dùng ổn, cần test thêm",2025-02-13,dùng ổn cần test thêm
22,giày thể thao,4,positive,"săn sale nên thấy đi êm chân, form đẹp",2025-03-26,săn sale nên thấy đi êm_chân form đẹp
23,tai nghe,1,negative,"shop giao nhanh, đeo hơi đau tai, đáng tiền",2025-07-24,cửa_hàng giao nhanh đeo hơi đau_tai đáng tiền
