review_id,product_category,rating,sentiment_label,review_text,date
1,giày thể thao,5,positive,"shop giao nhanh, đi êm chân, form đẹp",2025-12-13
2,giày thể thao,3,neutral,"đi ổn, đúng giá tiền",2025-04-22
3,bàn phím,1,negative,"gõ hơi cứng và ồn, hơi tiếc",2025-04-23
4,áo thun,1,negative,"săn sale nên thấy chỉ thừa nhiều, hơi thất vọng, đáng tiền",2025-05-23
5,bàn phím,5,positive,"săn sale nên thấy gõ êm tay, led đẹp",2025-07-03
6,nồi chiên,5,positive,"săn sale nên thấy dung tích lớn, rất tiện",2025-03-05
7,áo thun,5,positive,"shop giao nhanh, màu đẹp như hình",2025-01-24
8,giày thể thao,5,positive,"đi êm chân, form đẹp, hơi tiếc",2025-05-23
9,áo thun,1,negative,"đóng gói cẩn thận, vải mỏng hơn mong đợi, sẽ ủng hộ tiếp",2025-12-10
10,tai nghe,1,negative,"shop giao nhanh, đeo hơi đau tai, sẽ ủng hộ tiếp",2025-08-25
11,áo thun,4,positive,"shop giao nhanh, vải mềm, form đẹp",2026-02-17
12,tai nghe,4,positive,"đóng gói cẩn thận, mic thu âm rõ, gọi điện tốt, sẽ ủng hộ tiếp",2025-12-02
13,áo thun,5,positive,"shop giao nhanh, mặc thoải mái, đường may chắc, sẽ ủng hộ tiếp",2026-01-17
14,sạc dự phòng,2,negative,"shop giao nhanh, dung lượng không như quảng cáo, sẽ ủng hộ tiếp",2025-09-18
15,áo thun,4,positive,"shop giao nhanh, vải mềm, form đẹp, hơi tiếc",2025-11-02
16,chuột,5,positive,"di chuột mượt, click nhạy, rất đáng tiền",2026-01-20
17,tai nghe,3,neutral,"săn sale nên thấy nghe ổn trong tầm giá, sẽ ủng hộ tiếp",2025-08-21
18,chuột,3,neutral,"đúng mô tả, hiệu năng bình thường, đáng tiền",2026-03-07
19,giày thể thao,1,negative,"shop giao nhanh, đi hơi cứng chân",2026-02-03
20,sạc dự phòng,3,neutral,"dùng được, chưa thấy vấn đề, đáng tiền",2026-03-26
21,nồi chiên,3,neutral,"dùng ổn, cần test thêm",2025-02-13
22,giày thể thao,4,positive,"săn sale nên thấy đi êm chân, form đẹp",2025-03-26
23,tai nghe,1,negative,"shop giao nhanh, đeo hơi đau tai, đáng tiền",2025-07-24
24,giày thể thao,2,negative,"shop giao nhanh, keo dán chưa chắc, sẽ ủng hộ tiếp",2025-02-02
25,tai nghe,4,positive,"âm thanh rõ, bass tốt",2025-04-28
26,chuột,3,neutral,"shop giao nhanh, đúng mô tả, hiệu năng bình thường, đáng tiền",2025-12-09
27,áo thun,4,positive,"săn sale nên thấy vải mềm, form đẹp, hơi tiếc",2025-04-08
28,chuột,5,positive,"săn sale nên thấy kết nối ổn định, không bị lag, hơi tiếc",2026-03-19
29,giày thể thao,4,positive,"đóng gói cẩn thận, đế bám tốt, chạy thích",2025-05-08
30,bàn phím,5,positive,"shop giao nhanh, switch phản hồi tốt, rất thích, đáng tiền",2025-08-25
31,bàn phím,3,neutral,dùng văn phòng khá ổn,2025-11-30
32,sạc dự phòng,3,neutral,"săn sale nên thấy dùng được, chưa thấy vấn đề, hơi tiếc",2025-09-04
33,bàn phím,3,neutral,"đúng mô tả nhưng giao hơi lâu, hơi tiếc",2025-05-16
34,nồi chiên,3,neutral,"đúng mô tả, mức trung bình, hơi tiếc",2025-03-21
35,bàn phím,4,positive,"đóng gói cẩn thận, keycap chắc chắn, build ngon",2025-01-26
36,sạc dự phòng,4,positive,"dùng ổn định, rất hài lòng, sẽ ủng hộ tiếp",2025-02-05
37,sạc dự phòng,4,positive,"sạc nhanh, pin đúng dung lượng, sẽ ủng hộ tiếp",2025-10-24
38,sạc dự phòng,4,positive,"dùng ổn định, rất hài lòng",2025-09-25
39,tai nghe,3,neutral,"đóng gói cẩn thận, âm thanh ở mức chấp nhận được, hơi tiếc",2025-03-09
40,giày thể thao,2,negative,"keo dán chưa chắc, hơi tiếc",2025-11-15
41,sạc dự phòng,3,neutral,"đóng gói cẩn thận, đúng mô tả nhưng chưa nổi bật, sẽ ủng hộ tiếp",2025-06-28
42,chuột,3,neutral,săn sale nên thấy dùng tạm ổn trong tầm giá,2025-12-27
43,tai nghe,2,negative,"đeo hơi đau tai, sẽ ủng hộ tiếp",2025-05-16
44,chuột,3,neutral,"chưa dùng lâu nên chưa đánh giá thêm, sẽ ủng hộ tiếp",2026-01-03
45,tai nghe,5,positive,đeo êm tai lâu không đau,2025-11-21
46,áo thun,3,neutral,"shop giao nhanh, đúng mô tả, chất vải bình thường, đáng tiền",2025-03-24
47,giày thể thao,5,positive,"đi êm chân, form đẹp, sẽ ủng hộ tiếp",2025-10-07
48,chuột,3,neutral,"dùng tạm ổn trong tầm giá, đáng tiền",2025-07-06
49,nồi chiên,3,neutral,"shop giao nhanh, dùng ổn, cần test thêm",2025-07-01
50,nồi chiên,1,negative,"shop giao nhanh, quạt hơi ồn, sẽ ủng hộ tiếp",2026-03-28
51,áo thun,5,positive,"shop giao nhanh, màu đẹp như hình, đáng tiền",2025-03-23
52,nồi chiên,1,negative,"shop giao nhanh, vỏ có vết xước, sẽ ủng hộ tiếp",2026-02-23
53,áo thun,4,positive,"shop giao nhanh, vải mềm, form đẹp, hơi tiếc",2025-06-18
54,tai nghe,3,neutral,"chưa test lâu nên chưa rõ độ bền, hơi tiếc",2025-12-14
55,nồi chiên,1,negative,"shop giao nhanh, vỏ có vết xước",2025-05-16
56,chuột,5,positive,"săn sale nên thấy cầm vừa tay, phản hồi tốt",2025-09-19
57,chuột,4,positive,"săn sale nên thấy di chuột mượt, click nhạy, rất đáng tiền",2025-09-24
58,nồi chiên,2,negative,"vỏ có vết xước, đáng tiền",2025-11-16
59,tai nghe,2,negative,"đóng gói cẩn thận, đeo hơi đau tai, hơi tiếc",2025-06-17
60,áo thun,1,negative,"săn sale nên thấy vải mỏng hơn mong đợi, sẽ ủng hộ tiếp",2025-11-12
61,sạc dự phòng,4,positive,"shop giao nhanh, thiết kế đẹp, cầm chắc tay, hơi tiếc",2026-02-07
62,sạc dự phòng,2,negative,"săn sale nên thấy dung lượng không như quảng cáo, sẽ ủng hộ tiếp",2025-09-19
63,áo thun,3,neutral,"đúng mô tả, chất vải bình thường",2025-06-21
64,chuột,3,neutral,"shop giao nhanh, dùng tạm ổn trong tầm giá, sẽ ủng hộ tiếp",2025-01-13
65,chuột,5,positive,"săn sale nên thấy kết nối ổn định, không bị lag",2025-04-10
66,giày thể thao,2,negative,"shop giao nhanh, keo dán chưa chắc",2026-04-03
67,nồi chiên,3,neutral,"shop giao nhanh, dùng ổn, cần test thêm",2025-08-26
68,chuột,2,negative,săn sale nên thấy pin yếu hơn mô tả,2025-10-14
69,sạc dự phòng,5,positive,"săn sale nên thấy dùng ổn định, rất hài lòng, sẽ ủng hộ tiếp",2026-01-16
70,nồi chiên,5,positive,"đóng gói cẩn thận, dung tích lớn, rất tiện",2025-09-06
71,giày thể thao,5,positive,"đóng gói cẩn thận, nhẹ chân, đúng size, sẽ ủng hộ tiếp",2025-05-20
72,tai nghe,4,positive,"shop giao nhanh, âm thanh rõ, bass tốt, hơi tiếc",2025-12-22
73,bàn phím,2,negative,"đóng gói cẩn thận, led không đều màu",2025-08-27
74,áo thun,5,positive,màu đẹp như hình,2025-07-14
75,áo thun,5,positive,"săn sale nên thấy mặc thoải mái, đường may chắc",2026-01-18
76,giày thể thao,2,negative,"đóng gói cẩn thận, keo dán chưa chắc, hơi tiếc",2025-09-06
77,chuột,5,positive,"shop giao nhanh, kết nối ổn định, không bị lag",2025-10-01
78,chuột,3,neutral,"săn sale nên thấy đúng mô tả, hiệu năng bình thường, sẽ ủng hộ tiếp",2026-03-20
79,áo thun,5,positive,"shop giao nhanh, mặc thoải mái, đường may chắc, hơi tiếc",2025-06-17
80,tai nghe,3,neutral,"đóng gói cẩn thận, nghe ổn trong tầm giá",2025-08-29
81,chuột,2,negative,pin yếu hơn mô tả,2026-01-22
82,chuột,3,neutral,"shop giao nhanh, đúng mô tả, hiệu năng bình thường, sẽ ủng hộ tiếp",2025-03-06
83,áo thun,2,negative,"đóng gói cẩn thận, chỉ thừa nhiều, hơi thất vọng, đáng tiền",2025-03-27
84,sạc dự phòng,1,negative,dung lượng không như quảng cáo,2025-01-14
85,tai nghe,2,negative,"shop giao nhanh, đeo hơi đau tai",2025-10-31
86,giày thể thao,3,neutral,"đóng gói cẩn thận, chất lượng bình thường",2026-02-17
87,chuột,3,neutral,"săn sale nên thấy đúng mô tả, hiệu năng bình thường, đáng tiền",2025-02-05
88,sạc dự phòng,2,negative,"dung lượng không như quảng cáo, hơi tiếc",2025-07-05
89,giày thể thao,3,neutral,"shop giao nhanh, mẫu đẹp nhưng chưa thử chạy lâu",2025-11-30
90,tai nghe,2,negative,"pin tụt nhanh, đáng tiền",2025-06-15
91,nồi chiên,4,positive,"shop giao nhanh, máy chạy êm, dễ vệ sinh, hơi tiếc",2025-10-19
92,sạc dự phòng,1,negative,"đóng gói cẩn thận, dung lượng không như quảng cáo, sẽ ủng hộ tiếp",2025-09-07
93,bàn phím,5,positive,"switch phản hồi tốt, rất thích, đáng tiền",2025-10-12
94,chuột,1,negative,"săn sale nên thấy pin yếu hơn mô tả, hơi tiếc",2025-10-12
95,nồi chiên,5,positive,"máy chạy êm, dễ vệ sinh",2025-05-31
96,bàn phím,4,positive,"keycap chắc chắn, build ngon, đáng tiền",2025-08-31
97,sạc dự phòng,2,negative,"săn sale nên thấy dung lượng không như quảng cáo, đáng tiền",2025-06-06
98,tai nghe,4,positive,"âm thanh rõ, bass tốt, sẽ ủng hộ tiếp",2025-04-09
99,bàn phím,2,negative,"shop giao nhanh, một vài phím bị liệt, đáng tiền",2025-04-27
100,tai nghe,4,positive,đeo êm tai lâu không đau,2025-10-11
101,tai nghe,2,negative,âm bị rè khi mở lớn,2025-05-26
102,áo thun,5,positive,"đóng gói cẩn thận, vải mềm, form đẹp, hơi tiếc",2025-02-28
103,nồi chiên,5,positive,"dung tích lớn, rất tiện, sẽ ủng hộ tiếp",2025-03-18
104,nồi chiên,1,negative,quạt hơi ồn,2026-01-27
105,áo thun,2,negative,"săn sale nên thấy vải mỏng hơn mong đợi, đáng tiền",2026-03-17
106,sạc dự phòng,3,neutral,"đúng mô tả nhưng chưa nổi bật, sẽ ủng hộ tiếp",2025-11-17
107,bàn phím,4,positive,"shop giao nhanh, gõ êm tay, led đẹp",2025-02-08
108,bàn phím,5,positive,"switch phản hồi tốt, rất thích, sẽ ủng hộ tiếp",2025-05-28
109,giày thể thao,5,positive,"shop giao nhanh, nhẹ chân, đúng size, đáng tiền",2026-02-08
110,nồi chiên,2,negative,"quạt hơi ồn, sẽ ủng hộ tiếp",2025-11-28
111,bàn phím,3,neutral,"shop giao nhanh, gõ ổn, chưa có gì nổi bật, đáng tiền",2025-11-01
112,giày thể thao,3,neutral,"săn sale nên thấy đi ổn, đúng giá tiền, đáng tiền",2025-12-25
113,áo thun,3,neutral,mặc tạm ổn,2026-04-01
114,áo thun,1,negative,"shop giao nhanh, size bị lệch, mặc không vừa",2025-10-28
115,chuột,3,neutral,săn sale nên thấy dùng tạm ổn trong tầm giá,2025-11-30
116,áo thun,3,neutral,săn sale nên thấy không quá xuất sắc nhưng chấp nhận được,2025-08-29
117,tai nghe,5,positive,"đóng gói cẩn thận, âm thanh rõ, bass tốt, hơi tiếc",2025-12-22
118,áo thun,5,positive,"mặc thoải mái, đường may chắc, đáng tiền",2025-05-10
119,tai nghe,5,positive,"mic thu âm rõ, gọi điện tốt, hơi tiếc",2025-07-31
120,chuột,5,positive,"kết nối ổn định, không bị lag, sẽ ủng hộ tiếp",2025-05-17
121,sạc dự phòng,5,positive,"săn sale nên thấy dùng ổn định, rất hài lòng",2025-01-15
122,giày thể thao,1,negative,đi hơi cứng chân,2025-10-10
123,áo thun,4,positive,"shop giao nhanh, vải mềm, form đẹp, hơi tiếc",2026-01-02
124,tai nghe,2,negative,"săn sale nên thấy pin tụt nhanh, sẽ ủng hộ tiếp",2025-08-22
125,sạc dự phòng,4,positive,"đóng gói cẩn thận, sạc nhanh, pin đúng dung lượng, hơi tiếc",2025-06-24
126,nồi chiên,2,negative,"đóng gói cẩn thận, nhiệt không đều như mong đợi",2025-10-24
127,giày thể thao,4,positive,"săn sale nên thấy nhẹ chân, đúng size, đáng tiền",2025-06-20
128,sạc dự phòng,3,neutral,"shop giao nhanh, sạc ở mức bình thường, sẽ ủng hộ tiếp",2025-10-20
129,áo thun,5,positive,"săn sale nên thấy mặc thoải mái, đường may chắc, hơi tiếc",2025-07-17
130,giày thể thao,3,neutral,"shop giao nhanh, đi ổn, đúng giá tiền",2025-10-30
131,tai nghe,3,neutral,săn sale nên thấy chưa test lâu nên chưa rõ độ bền,2026-01-05
132,bàn phím,4,positive,"đóng gói cẩn thận, switch phản hồi tốt, rất thích, đáng tiền",2025-11-16
133,giày thể thao,4,positive,"nhẹ chân, đúng size, hơi tiếc",2025-06-12
134,giày thể thao,1,negative,"size không chuẩn, sẽ ủng hộ tiếp",2025-11-20
135,giày thể thao,3,neutral,mẫu đẹp nhưng chưa thử chạy lâu,2025-08-16
136,bàn phím,1,negative,"led không đều màu, đáng tiền",2025-07-03
137,tai nghe,4,positive,"shop giao nhanh, mic thu âm rõ, gọi điện tốt, sẽ ủng hộ tiếp",2025-03-31
138,chuột,1,negative,"kết nối chập chờn, dùng bực mình, sẽ ủng hộ tiếp",2025-04-29
139,áo thun,2,negative,"chỉ thừa nhiều, hơi thất vọng, hơi tiếc",2025-05-28
140,giày thể thao,2,negative,"đi hơi cứng chân, đáng tiền",2025-11-24
141,áo thun,2,negative,"săn sale nên thấy size bị lệch, mặc không vừa, hơi tiếc",2025-02-24
142,bàn phím,5,positive,"đóng gói cẩn thận, keycap chắc chắn, build ngon",2026-03-01
143,giày thể thao,4,positive,"săn sale nên thấy nhẹ chân, đúng size, đáng tiền",2026-02-02
144,nồi chiên,5,positive,"shop giao nhanh, dung tích lớn, rất tiện",2025-05-09
145,giày thể thao,3,neutral,"chất lượng bình thường, đáng tiền",2026-02-08
146,áo thun,5,positive,"đóng gói cẩn thận, vải mềm, form đẹp, đáng tiền",2026-01-18
147,áo thun,4,positive,"màu đẹp như hình, đáng tiền",2026-03-02
148,bàn phím,5,positive,"đóng gói cẩn thận, keycap chắc chắn, build ngon",2025-08-28
149,chuột,4,positive,"cầm vừa tay, phản hồi tốt, hơi tiếc",2025-01-08
150,tai nghe,2,negative,"đóng gói cẩn thận, đeo hơi đau tai",2025-07-15
151,nồi chiên,1,negative,"shop giao nhanh, nhiệt không đều như mong đợi, hơi tiếc",2025-01-13
152,sạc dự phòng,3,neutral,"đúng mô tả nhưng chưa nổi bật, hơi tiếc",2025-12-25
153,tai nghe,1,negative,"âm bị rè khi mở lớn, đáng tiền",2025-09-10
